#;Tool;Typ;Fokus;No-Code_Anteil;Self-Host_Docker;Government_Fit;Reifegrad;Lizenz;Link_GitHub

1;Rasa;Conversational AI;Agenten;Teilweise;✅;5;5;Apache 2.0;https://github.com/RasaHQ/rasa

2;Botpress;Chatbot Builder;Agenten;Ja;✅;4;4;AGPL-3.0;https://github.com/botpress/botpress

3;Hexabot;Conversational AI;Agenten;Ja;✅;4;3;MIT;https://github.com/hexabot-ai/hexabot

4;Appsmith;Low-Code;App Builder;Ja;✅;5;5;Apache 2.0;https://github.com/appsmithorg/appsmith

5;Budibase;Low-Code;App Builder;Ja;✅;5;4;Apache 2.0;https://github.com/Budibase/budibase

6;ToolJet;Low-Code;Dashboard Builder;Ja;✅;5;4;AGPL-3.0;https://github.com/ToolJet/ToolJet

7;n8n;Automation;Workflow;Ja;✅;4;5;Fair Code;https://github.com/n8n-io/n8n

8;Node-RED;Automation;Workflow;Ja;✅;5;5;Apache 2.0;https://github.com/node-red/node-red

9;Huginn;Automation;Web Agent;Config;✅;4;4;MIT;https://github.com/huginn/huginn

10;Mycroft AI;Conversational AI;Voice Assistant;Ja;✅;5;4;Apache 2.0;https://github.com/MycroftAI

11;Rhasspy;Conversational AI;Offline Voice;Config;✅;5;4;MIT;https://github.com/rhasspy/rhasspy

12;Leon;Conversational AI;Personal Assistant;Teilweise;✅;4;4;MIT;https://github.com/leon-ai/leon

13;Form.io (CE);Formular;Form & API;Ja;✅;4;4;MIT;https://github.com/formio/formio

14;Docspell;Dokumenten-AI;DMS/OCR;Ja;✅;5;4;AGPL-3.0;https://github.com/eikek/docspell

15;OpenFormBuilder;Formular;XForms / PDF;Ja;✅;5;4;LGPL;https://github.com/orbeon/orbeon-forms

16;Formbricks;Formular;Feedback/Surveys;Ja;✅;4;4;AGPL-3.0;https://github.com/formbricks/formbricks

17;Automa;Automation;Browser Automation;Ja;✅;4;4;MIT;https://github.com/AutomaApp/automa

18;Saltbox;App Suite;App Suite;Ja;✅;4;4;MIT;https://github.com/saltbox/saltbox

#;Tool;Typ;Fokus;No-Code_Anteil;Self-Host_Docker;Government_Fit;Reifegrad;Lizenz;Link_GitHub

1;Rasa;Conversational AI;Agenten;Teilweise;True;5;5;Apache 2.0;https://github.com/RasaHQ/rasa

2;Botpress;Chatbot Builder;Agenten;Ja;True;4;4;AGPL-3.0;https://github.com/botpress/botpress

3;Hexabot;Conversational AI;Agenten;Ja;True;4;3;MIT;https://github.com/hexabot-ai/hexabot

4;Appsmith;Low-Code;App Builder;Ja;True;5;5;Apache 2.0;https://github.com/appsmithorg/appsmith

5;Budibase;Low-Code;App Builder;Ja;True;5;4;Apache 2.0;https://github.com/Budibase/budibase

6;ToolJet;Low-Code;Dashboard Builder;Ja;True;5;4;AGPL-3.0;https://github.com/ToolJet/ToolJet

7;n8n;Automation;Workflow;Ja;True;4;5;Fair Code;https://github.com/n8n-io/n8n

8;Node-RED;Automation;Workflow;Ja;True;5;5;Apache 2.0;https://github.com/node-red/node-red

9;Huginn;Automation;Web Agent;Config;True;4;4;MIT;https://github.com/huginn/huginn

10;Mycroft AI;Conversational AI;Voice Assistant;Ja;True;5;4;Apache 2.0;https://github.com/MycroftAI/mycroft-core

11;Rhasspy;Conversational AI;Offline Voice;Config;True;5;4;MIT;https://github.com/rhasspy/rhasspy

12;Leon;Conversational AI;Personal Assistant;Teilweise;True;4;4;MIT;https://github.com/leon-ai/leon

13;Form.io (CE);Formular;Form & API;Ja;True;4;4;MIT;https://github.com/formio/formio

14;Docspell;Dokumenten-AI;DMS/OCR;Ja;True;5;4;AGPL-3.0;https://github.com/eikek/docspell

15;OpenFormBuilder;Formular;XForms / PDF;Ja;True;5;4;LGPL;https://github.com/orbeon/orbeon-forms

16;Formbricks;Formular;Feedback/Surveys;Ja;True;4;4;AGPL-3.0;https://github.com/formbricks/formbricks

17;Automa;Automation;Browser Automation;Ja;True;4;4;MIT;https://github.com/AutomaApp/automa

18;Saltbox;App Suite;App Suite;Ja;True;4;4;MIT;https://github.com/saltbox/saltbox

19;ActivePieces;Automation;No-Code Automation;Ja;True;4;5;MIT;https://github.com/activepieces/activepieces

20;Cal.com;Formular;Terminbuchung;Ja;True;5;5;AGPL-3.0;https://github.com/calcom/cal.com

#;Tool;Typ;Fokus;No-Code_Anteil;Self-Host_Docker;Government_Fit;Reifegrad;Lizenz;Link_GitHub

1;LiveKit;Realtime Communication;Voice/Video Agenten;Teilweise;True;5;5;Apache 2.0;https://github.com/livekit/livekit

2;Jellyfin;Media Server;Medien-Streaming;Ja;True;5;5;GPL-2.0;https://github.com/jellyfin/jellyfin

3;Nextcloud;Collaboration;Datei & Groupware;Ja;True;5;5;AGPL-3.0;https://github.com/nextcloud/server

4;BookStack;Knowledge Base;Wiki/Dokumentation;Ja;True;5;5;MIT;https://github.com/BookStackApp/BookStack

5;Hedgedoc;Collaboration;Markdown-Editor;Ja;True;5;5;AGPL-3.0;https://github.com/hedgedoc/hedgedoc

6;Matrix Synapse;Messaging;Secure Chat;Config;True;5;5;Apache 2.0;https://github.com/matrix-org/synapse

7;Element;Messaging;Matrix Web Client;Ja;True;5;5;Apache 2.0;https://github.com/vector-im/element-web

8;Vaultwarden;Password Manager;Passwort-Safe;Ja;True;5;5;AGPL-3.0;https://github.com/dani-garcia/vaultwarden

9;Uptime Kuma;Monitoring;System-Überwachung;Ja;True;5;5;MIT;https://github.com/louislam/uptime-kuma

10;Netdata;Monitoring;Realtime Metrics;Ja;True;5;5;GPL-3.0;https://github.com/netdata/netdata

11;Glances;Monitoring;System Dashboard;Ja;True;5;5;LGPL-3.0;https://github.com/nicolargo/glances

12;Portainer;Container Management;Docker/K8s UI;Ja;True;5;5;Zlib;https://github.com/portainer/portainer

13;Watchtower;Container Management;Auto-Update;Config;True;5;5;Apache 2.0;https://github.com/containrrr/watchtower

14;Ollama;LLM Inference;Lokale KI-Modelle;Config;True;5;5;MIT;https://github.com/ollama/ollama

15;Open WebUI;LLM Interface;ChatGPT-Alternative;Ja;True;5;5;MIT;https://github.com/open-webui/open-webui

16;Text Generation WebUI;LLM Interface;Model-Chat UI;Ja;True;5;4;AGPL-3.0;https://github.com/oobabooga/text-generation-webui

17;PrivateGPT;LLM;Offline Dokumenten-KI;Config;True;4;4;Apache 2.0;https://github.com/imartinez/privateGPT

18;AnythingLLM;LLM;Dokumenten-Agent;Ja;True;4;4;MIT;https://github.com/Mintplex-Labs/anything-llm

19;Stirrup;AI Agent;Task Automation;Ja;True;4;3;MIT;https://github.com/stirrup-ai/stirrup

20;Autogen;AI Agent;Multi-Agent Framework;Teilweise;True;4;4;MIT;https://github.com/microsoft/autogen

